Name	Ra	Dec	TS(1GeV)
2FGLJ0633.9+1746	98.4785	17.7739	320917
2FGLJ0534.5+2201	83.6315	22.0196	64010
2FGLJ1836.2+5926	279.0653	59.4339	45987
2FGLJ2253.9+1609	343.4974	16.1526	34168
2FGLJ0007.0+7303	1.7735	73.0545	24139
2FGLJ0538.8-4405	84.706	-44.0838	12550
2FGLJ1104.4+3812	166.1199	38.2134	12446
2FGLJ1224.9+2122	186.2262	21.38	11786
2FGLJ0617.2+2234e	94.31	22.58	10787
2FGLJ1512.8-0906	228.2071	-9.1034	9888
2FGLJ0240.5+6113	40.1298	61.2249	8505
2FGLJ2158.8-3013	329.7145	-30.2191	7964
2FGLJ0721.9+7120	110.4757	71.3496	6953
2FGLJ1256.1-0547	194.0424	-5.7937	6489
2FGLJ0457.0-2325	74.268	-23.4271	6186
2FGLJ1522.1+3144	230.5418	31.7436	4947
2FGLJ0614.1-3329	93.54	-33.4836	4535
2FGLJ0238.7+1637	39.6753	16.6241	4346
2FGLJ1555.7+1111	238.9418	11.1902	4237
2FGLJ2229.0+6114	337.2668	61.2461	4145
2FGLJ1231.2-1411	187.8154	-14.1868	3881
2FGLJ0957.7+5522	149.433	55.3817	3667
2FGLJ0730.2-1141	112.5722	-11.6955	3400
2FGLJ0449.4-4350	72.371	-43.8384	3272
2FGLJ1229.1+0202	187.2766	2.0417	3251
2FGLJ1427.0+2347	216.7597	23.795	3221
2FGLJ0808.2-0750	122.0594	-7.8497	3159
2FGLJ1635.2+3810	248.8091	38.1712	2623
2FGLJ1428.0-4206	217.012	-42.1036	2446
2FGLJ1312.8+4828	198.2116	48.4722	2315
2FGLJ1015.1+4925	153.7885	49.4324	2256
2FGLJ0920.9+4441	140.236	44.6968	2088
2FGLJ1457.4-3540	224.3627	-35.6709	1902
2FGLJ0030.4+0450	7.601	4.8387	1883
2FGLJ1542.9+6129	235.7294	61.4887	1811
2FGLJ1849.4+6706	282.3503	67.1035	1668
2FGLJ0725.3+1426	111.3311	14.4429	1661
2FGLJ2025.6-0736	306.4161	-7.6052	1643
2FGLJ0719.3+3306	109.8274	33.1079	1626
2FGLJ0818.2+4223	124.5727	42.3983	1593
2FGLJ0112.1+2245	18.0327	22.7637	1563
2FGLJ2202.8+4216	330.7072	42.2675	1541
2FGLJ0526.6-6825e	81.65	-68.42	1491
2FGLJ2056.2-4715	314.0676	-47.2549	1409
2FGLJ1246.7-2546	191.681	-25.7828	1380
2FGLJ1058.6+5628	164.6656	56.4801	1332
2FGLJ2000.0+6509	300.0204	65.1572	1250
2FGLJ1159.5+2914	179.8777	29.2467	1164
2FGLJ1923.5-2105	290.8841	-21.0869	1148
2FGLJ2124.6-3357	321.1599	-33.9654	1133
2FGLJ0136.9+4751	24.2396	47.861	1128
2FGLJ0108.6+0135	17.1735	1.5907	1125
2FGLJ2055.8+2539	313.9602	25.6639	1114
2FGLJ1311.7-3429	197.9431	-34.4888	1104
2FGLJ2329.2-4956	352.317	-49.939	1080
2FGLJ2203.4+1726	330.8687	17.4363	1055
2FGLJ1310.6+3222	197.6736	32.381	1048
2FGLJ2302.7+4443	345.6978	44.7202	1041
2FGLJ0357.8+3205	59.4719	32.0968	1040
2FGLJ1248.2+5820	192.0633	58.3499	1025
2FGLJ0217.9+0143	34.4833	1.7303	1021
2FGLJ0136.5+3905	24.143	39.0892	1005
2FGLJ0423.2-0120	65.807	-1.3423	997
2FGLJ2139.3-4236	324.8405	-42.608	984
2FGLJ1033.9+6050	158.4845	60.8349	967
2FGLJ1800.5+7829	270.1472	78.4834	941
2FGLJ0403.9-3604	60.986	-36.0696	928
2FGLJ0120.4-2700	20.1239	-27.0149	927
2FGLJ0738.0+1742	114.5236	17.7026	889
2FGLJ2339.6-0532	354.9091	-5.542	857
2FGLJ0442.7-0017	70.6859	-0.2935	845
2FGLJ2214.7+3000	333.6908	30.0125	837
2FGLJ0252.7-2218	43.1952	-22.3128	793
2FGLJ0245.9-4652	41.4777	-46.8707	783
2FGLJ2243.9+2021	340.9977	20.3562	774
2FGLJ2236.4+2828	339.1024	28.4755	770
2FGLJ1253.1+5302	193.2756	53.0467	762
2FGLJ0831.9+0429	127.9866	4.4861	746
2FGLJ0334.2-4008	53.5596	-40.1484	711
2FGLJ1806.7+6948	271.6788	69.8005	708
2FGLJ0112.8+3208	18.2069	32.1387	707
2FGLJ0509.4+0542	77.3683	5.7003	676
2FGLJ1700.2+6831	255.0619	68.5174	672
2FGLJ0210.7-5102	32.6959	-51.0346	662
2FGLJ0033.5-1921	8.3911	-19.357	661
2FGLJ1517.7-2421	229.435	-24.36	643
2FGLJ0850.2-1212	132.5513	-12.2161	640
2FGLJ0523.0-3628	80.7692	-36.4685	639
2FGLJ1012.6+2440	153.1719	24.6784	624
2FGLJ0700.3-6611	105.0894	-66.1848	623
2FGLJ1903.3+5539	285.8402	55.6662	621
2FGLJ0714.0+1933	108.5122	19.5654	617
2FGLJ0023.9-7204	5.9856	-72.0825	615
2FGLJ0118.8-2142	19.7243	-21.7062	615
2FGLJ2311.0+3425	347.7711	34.4298	609
2FGLJ0825.9-2229	126.4811	-22.4994	607
2FGLJ2009.5-4850	302.375	-48.8338	590
2FGLJ1344.2-1723	206.0684	-17.3956	578
2FGLJ2043.2+1711	310.8091	17.1837	570
2FGLJ2229.7-0832	337.4412	-8.5459	544
