#name	ra	dec
BZQJ2253+1608	343.4904	16.1481
BZBJ1104+3812	166.1158	38.2106
BZBJ0538-4405	84.7092	-44.0856
BZQJ1504+1029	226.1037	10.4942
BZBJ0428-3756	67.1679	-37.9386
BZBJ2158-3013	329.7167	-30.2256
BZQJ1224+2122	186.2267	21.3794
BZBJ1555+1111	238.9292	11.19
BZQJ0457-2324	74.2629	-23.4144
BZQJ1256-0547	194.0458	-5.7892
BZUJ0319+4130	49.9504	41.5117
BZBJ0238+1636	39.6617	16.6164
BZBJ0449-4350	72.3529	-43.8358
BZBJ1427+2348	216.7513	23.8
BZQJ0808-0751	122.0642	-7.8525
BZQJ0730-1141	112.5792	-11.6867
BZUJ1802-3940	270.6775	-39.6686
BZQJ0957+5522	149.4087	55.3825
BZQJ1522+3144	230.5408	31.7372
BZBJ1015+4926	153.7667	49.4333
BZBJ0303-2407	45.8604	-24.1203
BZQJ1312+4828	198.1804	48.475
BZQJ1457-3539	224.3613	-35.6528
BZBJ0136+3905	24.135	39.0997
BZBJ0818+4222	124.5667	42.3792
BZBJ2202+4216	330.68	42.2778
BZBJ1542+6129	235.7367	61.4986
BZUJ0719+3307	109.8304	33.1192
BZBJ1959+6508	299.9992	65.1483
BZQJ2025-0735	306.4192	-7.5978
BZQJ1923-2104	290.8837	-21.0758
BZQJ0920+4441	140.2429	44.6983
BZBJ1221+2813	185.3817	28.2328
BZBJ2139-4239	324.8504	-42.5889
BZBJ1058+5628	164.6567	56.4697
BZBJ1517-2422	229.4242	-24.3719
BZBJ2009-4849	302.3554	-48.8314
BZQJ1246-2547	191.6946	-25.7969
BZBJ0738+1742	114.5304	17.7053
BZQJ0217+0144	34.4538	1.7469
BZQJ2056-4714	314.0679	-47.2464
BZQJ2203+1725	330.8617	17.43
BZBJ0507+6737	76.9842	67.6233
BZBJ0630-2406	97.7471	-24.1128
BZBJ0120-2701	20.1317	-27.0233
BZBJ1248+5820	192.0779	58.3411
BZBJ0033-1921	8.3929	-19.3592
BZQJ0423-0120	65.8154	-1.3425
BZBJ1443-3908	220.9879	-39.1442
BZBJ1253+5301	193.2992	53.0197
BZQJ0136+4751	24.2433	47.8581
BZBJ1725+1152	261.2679	11.8708
BZBJ0509+0541	77.3579	5.6931
BZBJ1903+5540	285.7979	55.6772
J1344-1723	206.06	-17.3946
BZUJ0221+3556	35.2729	35.9372
BZUJ1058+0133	164.6229	1.5661
J070027-661041	105.13	-66.1795
BZQJ1159+2914	179.8821	29.2456
J033413-372548	53.5643	-37.4288
BZBJ0826-2230	126.5058	-22.5075
BZBJ1917-1921	289.4367	-19.3583
BZQJ0442-0017	70.6604	-0.2953
BZQJ2329-4955	352.3367	-49.9278
BZBJ0433+2905	68.4075	29.0986
