name	ra	dec	delta	z
BZBJ0033-1921	8.3929	-19.3592	0.0003	0.61
BZBJ0120-2701	20.1317	-27.0233	0.0003	0.56
BZBJ0127-0821	21.8179	-8.3578	3.6721	0.73
BZBJ0141-0928	25.3575	-9.4786	0.0003	0.73
BZBJ0238+1636	39.6617	16.6164	0.0005	0.94
BZBJ0407+0742	61.8704	7.7019	0.0008	1.13
BZBJ0428-3756	67.1679	-37.9386	0.0004	1.11
BZBJ0538-4405	84.7092	-44.0856	0.0005	0.89
BZBJ0811+0146	122.8608	1.7811	0.0005	1.15
BZBJ0825+0309	126.4592	3.1567	0.0006	0.51
BZBJ1012+0630	153.0554	6.5158	0.0002	0.73
BZBJ1043+2408	160.7871	24.1431	0.0005	0.56
BZBJ1340+4410	205.1242	44.1678	0	0.55
BZBJ1449+2746	222.3858	27.7722	3.0157	0.94
BZBJ1517+6525	229.4479	65.4231	0.0002	0.7
BZBJ1522-2730	230.6567	-27.5028	0.0004	1.29
BZBJ1748+7005	267.1367	70.0972	0.0003	0.77
BZBJ1800+7828	270.19	78.4678	0.0001	0.68
BZBJ2152+1734	328.1029	17.5769	0.0005	0.87
BZBJ2217+2421	334.2529	24.3628	0.0005	0.51
BZBJ2243-2544	340.86	-25.7417	0.0009	0.77
