name	ra	dec	delta	z	ref		
BZBJ0109+1816	17.2833	18.2686	0.0007	0.14	1	1	2000ApJS..129..547B
BZBJ0112+2244	18.0242	22.7439	0.0002	0.27	2	2	2008ApJS..175...97H
BZBJ0159+1047	29.8929	10.7847	0	0.2	?	3	2001A&A...375..739D
BZBJ0208+3523	32.1587	35.3867	0.0004	0.32	3	4	2000A&A...357...91F
BZBJ0303-2407	45.8604	-24.1203	0.0005	0.26	4	5	2005AJ....129..559S
BZBJ0316-2607	49.0625	-26.1319	0.0003	0.44	5	6	2005AJ....129.2542C
BZBJ0319+1845	49.9654	18.7594	0.0004	0.19	4	7	1999ApJ...525..127L
BZBJ0323-0108	50.9854	-1.1414	0.0006	0.39	6	8	2002A&A...381..757L
BZBJ0325-1646	51.4212	-16.7708	0.0005	0.29	1	9	1997AJ....114.1356C
BZBJ0326+0225	51.5579	2.4206	0.0003	0.15	7	10	1999A&A...352...85F
BZBJ0416+0105	64.2179	1.0897	0.0008	0.29	8	11	2008MNRAS.391..967L
BZBJ0449-4350	72.3529	-43.8358	0.0006	0.2	9	12	1995A&AS..109..147B
BZBJ0507+6737	76.9842	67.6233	0.0001	0.42	10	13	2003A&A...412..651C
BZBJ0558-3838	89.5254	-38.6408	0.0018	0.3	11	14	2003A&A...401..927B
BZBJ0710+5908	107.6246	59.1386	0.0005	0.13	7		
BZBJ0721+7120	110.4725	71.3433	0.0002	0.31	3		
BZBJ0730+3307	112.6079	33.1228	0.0006	0.11	1		
BZBJ0738+1742	114.5304	17.7053	0.0004	0.42	8		
BZBJ0744+7433	116.0217	74.5658	0.0002	0.32	3		
BZBJ0753+5352	118.2554	53.8831	0.0003	0.2	12		
BZBJ0757+0956	119.2775	9.9428	0.0003	0.27	13		
BZBJ0805+7534	121.3608	75.5731	0.0006	0.12	14		
BZBJ0809+3455	122.4117	34.9269	0.0003	0.08			
BZBJ0809+5218	122.4542	52.3161	0.0005	0.14			
BZBJ0828+4153	127.0592	41.8975	1.1637	0.25			
BZBJ0842+0252	130.6058	2.8806	0.0009	0.42			
BZBJ0847+1133	131.8033	11.5639	0.0005	0.2			
BZBJ0850+3455	132.6504	34.9228	0.0004	0.15			
BZBJ0854+2006	133.7029	20.1083	0.0007	0.31			
BZBJ0909+2311	137.2525	23.1867	0.0006	0.22			
BZBJ0910+3329	137.6542	33.49	0.0002	0.35			
BZBJ0940+6148	145.0929	61.8072	0.0003	0.21			
BZBJ0945+5757	146.4254	57.9631	0.0004	0.23			
BZBJ0958+6533	149.6967	65.565	0.0003	0.37			
BZBJ1015+4926	153.7667	49.4333	0.0004	0.2			
BZBJ1026-1748	156.7433	-17.8161	0.0005	0.11			
BZBJ1031+5053	157.8267	50.8931	0.0004	0.36			
BZBJ1051+0103	162.9654	1.0528	0.0006	0.27			
BZBJ1053+4929	163.4333	49.4989	0.0003	0.14			
BZBJ1058+5628	164.6567	56.4697	0.0003	0.14			
BZBJ1103-2329	165.9063	-23.4917	0.0005	0.19			
BZBJ1104+3812	166.1137	38.2086	0.0002	0.03			
BZBJ1107+1502	166.9496	15.0361	0.0007	0.26			
BZBJ1117+2014	169.2754	20.2356	0.0006	0.14			
BZBJ1119-3047	169.9146	-30.7889	0.0001	0.41			
BZBJ1120+4212	170.1996	42.2033	0.0005	0.12			
BZBJ1125-0742	171.4663	-7.7058	0.0004	0.28			
BZBJ1136+2550	174.2083	25.8478	0.0004	0.16			
BZBJ1136+6737	174.1246	67.6178	0.0003	0.14			
BZBJ1136+7009	174.11	70.1575	0.0001	0.04			
BZBJ1150+2417	177.58	24.2981	0.0003	0.2			
BZBJ1154-0010	178.5188	-0.1692	0.0003	0.25			
BZBJ1204+1145	181.0504	11.7653	0.0001	0.3			
